name,day,time,description,image_key,is_notification
Ги боссы (Breaking Army),2,20:00,Сражение с гильдейскими боссами,boss_1,False
Ги боссы (Breaking Army),5,20:00,Сражение с гильдейскими боссами,boss_2,False
Ги арена (Test Your Skills),3,20:00,Бои на гильдейской арене,arena,False
Ги арена (Test Your Skills),6,18:30,Бои на гильдейской арене,arena,False
Ги рейд + обычный рейд,1,20:10,Добавляйтесь в ивент через приглашение,join_realm,False
Ги рейд + обычный рейд(Резервный заход),6,20:10,Добавляйтесь в ивент через приглашение,join_realm,False
Гвг (Guild War),5,22:28,Гильдейская война,guild_war,False
Гвг (Guild War),6,22:28,Гильдейская война,guild_war,False
Гильд пати,0,20:00,Сбор на базе гильдии,guild_party,False
Гильд пати,1,20:00,Сбор на базе гильдии,guild_party,False
Гильд пати,2,20:00,Сбор на базе гильдии,guild_party,False
Гильд пати,3,20:00,Сбор на базе гильдии,guild_party,False
Гильд пати,4,20:00,Сбор на базе гильдии,guild_party,False
Гильд пати,5,20:00,Сбор на базе гильдии,guild_party,False
Гильд пати,6,20:00,Сбор на базе гильдии,guild_party,False
Регистрация на войну,0,20:05,Не забываем <a href='https://t.me/c/3778217245/72/77'>РЕГИСТРИРОВАТЬСЯ</a> на войну!,gvg_rmdr,True
Регистрация на войну,2,20:05,Не забываем <a href='https://t.me/c/3778217245/72/77'>РЕГИСТРИРОВАТЬСЯ</a> на войну!,gvg_rmdr,True
Регистрация на войну,4,20:05,Не забываем <a href='https://t.me/c/3778217245/72/77'>РЕГИСТРИРОВАТЬСЯ</a> на войну!,gvg_rmdr,True
